zip_code,State_Name,city,avarege_income
36611,Alabama,Chickasaw,38773
36048,Alabama,Louisville,37725
35051,Alabama,Columbiana,54606
36572,Alabama,Satsuma,63919
36528,Alabama,Dauphin Island,77948
35057,Alabama,Cullman,50715
36426,Alabama,East Brewton,33737
36020,Alabama,Coosada,46319
35621,Alabama,Eva,57994
35151,Alabama,Sylacauga,54807
35986,Alabama,Rainsville,47929
35901,Alabama,Gadsden,42251
36033,Alabama,Georgiana,27993
35136,Alabama,Rockford,31229
36744,Alabama,Greensboro,36439
35563,Alabama,Guin,56934
36344,Alabama,Hartford,41057
35080,Alabama,Helena,93682
35903,Alabama,Hokes Bluff,57202
36467,Alabama,Opp,49699
35954,Alabama,Attalla,51926
35576,Alabama,Millport,44572
35771,Alabama,Section,56029
36420,Alabama,Andalusia,51098
36455,Alabama,Lockhart,45465
36553,Alabama,Mcintosh,67392
36750,Alabama,Maplesville,43767
35064,Alabama,Fairfield,48074
36606,Alabama,Mobile,53330
35650,Alabama,Moulton,42079
35661,Alabama,Muscle Shoals,60729
36765,Alabama,Newbern,32466
35476,Alabama,Northport,62410
36801,Alabama,Opelika,55199
35477,Alabama,Panola,22603
36867,Alabama,Ozark,86605
36022,Alabama,Deatsville,63066
36067,Alabama,Prattville,53597
35582,Alabama,Red Bay,39220
36421,Alabama,Andalusia,39218
35049,Alabama,Cleveland,55127
36572,Alabama,Satsuma,59567
35143,Alabama,Shelby,63758
36877,Alabama,Smiths Station,57098
35581,Alabama,Phil Campbell,72297
35148,Alabama,Sumiton,51907
36078,Alabama,Tallassee,55849
36619,Alabama,Mobile,55230
35406,Alabama,Tuscaloosa,55815
36854,Alabama,Valley,49554
35178,Alabama,Vincent,0
36850,Alabama,Camp Hill,71026
35057,Alabama,Cullman,58314
36280,Alabama,Woodland,48217
36276,Alabama,Wadley,14741
35442,Alabama,Aliceville,28347
35120,Alabama,Odenville,242857
36830,Alabama,Auburn,59694
36509,Alabama,Bayou La Batre,50047
35022,Alabama,Bessemer,41239
35443,Alabama,Boligee,32777
35548,Alabama,Brilliant,33353
35040,Alabama,Calera,65576
35447,Alabama,Carrollton,41709
35004,Alabama,Moody,45862
35120,Alabama,Odenville,62222
35242,Alabama,Hoover,90262
35242,Alabama,Birmingham,92018
35043,Alabama,Chelsea,78399
35114,Alabama,Maylene,85122
36271,Alabama,Ohatchee,66000
35477,Alabama,Panola,34064
35160,Alabama,Talladega,38882
35150,Alabama,Sylacauga,40948
36853,Alabama,Dadeville,48421
35475,Alabama,Northport,77977
35404,Alabama,Holt,37965
35401,Alabama,Tuscaloosa,24931
35404,Alabama,Tuscaloosa,60252
35404,Alabama,Holt,53301
35578,Alabama,Nauvoo,40072
36863,Alabama,Lanett,35951
36558,Alabama,Millry,48623
35541,Alabama,Arley,49046
36067,Alabama,Prattville,58180
36025,Alabama,Elmore,41464
36051,Alabama,Marbury,59061
36562,Alabama,Perdido,55216
36507,Alabama,Bay Minette,36474
36526,Alabama,Daphne,107603
36551,Alabama,Loxley,50583
36567,Alabama,Robertsdale,69996
35045,Alabama,Clanton,56638
36532,Alabama,Fairhope,67864
36535,Alabama,Foley,71445
36547,Alabama,Gulf Shores,65583
36535,Alabama,Foley,49212
32506,Alabama,Pensacola,57395
36016,Alabama,Clayton,56947
36027,Alabama,Eufaula,43222
35034,Alabama,Brent,67555
35121,Alabama,Oneonta,34855
35049,Alabama,Cleveland,56385
36908,Alabama,Gilbertown,53998
35031,Alabama,Blountsville,47717
35079,Alabama,Hayden,58684
36089,Alabama,Union Springs,30765
36037,Alabama,Greenville,30564
36456,Alabama,Mckenzie,36333
36201,Alabama,Anniston,27581
36207,Alabama,Anniston,55336
36203,Alabama,Oxford,54371
36201,Alabama,Anniston,49509
36265,Alabama,Jacksonville,46650
36545,Alabama,Jackson,40352
36265,Alabama,Jacksonville,33803
36272,Alabama,Piedmont,35282
36250,Alabama,Alexandria,72487
36250,Alabama,Alexandria,0
36862,Alabama,Lafayette,45966
36863,Alabama,Lanett,38000
36854,Alabama,Valley,44019
35983,Alabama,Sand Rock,57239
36275,Alabama,Spring Garden,51542
35045,Alabama,Clanton,54388
36346,Alabama,Jack,47550
35085,Alabama,Jemison,40648
36091,Alabama,Verbena,67265
36904,Alabama,Butler,55952
36784,Alabama,Thomasville,40451
36567,Alabama,Robertsdale,64173
36451,Alabama,Grove Hill,50714
36545,Alabama,Jackson,40592
36251,Alabama,Ashland,44628
36264,Alabama,Heflin,31459
36346,Alabama,Jack,51782
36453,Alabama,Kinston,46792
36330,Alabama,Enterprise,88951
36330,Alabama,Enterprise,61449
35660,Alabama,Sheffield,51659
35674,Alabama,Tuscumbia,46357
35662,Alabama,Muscle Shoals,72532
35646,Alabama,Leighton,51460
35674,Alabama,Tuscumbia,44527
36432,Alabama,Castleberry,31633
35136,Alabama,Rockford,33042
36421,Alabama,Andalusia,53559
36421,Alabama,Andalusia,58835
35661,Alabama,Muscle Shoals,61868
36467,Alabama,Opp,46327
36467,Alabama,Opp,60141
36049,Alabama,Luverne,40683
35019,Alabama,Baileyton,61900
35179,Alabama,Vinemont,53673
35055,Alabama,Cullman,63213
35055,Alabama,Cullman,37893
35055,Alabama,Cullman,44858
35070,Alabama,Garden City,43726
36362,Alabama,Ft Rucker,68310
36401,Alabama,Evergreen,34206
36360,Alabama,Ozark,65625
36360,Alabama,Ozark,31645
36322,Alabama,Daleville,58239
36350,Alabama,Midland City,42703
36703,Alabama,Selma,65458
36701,Alabama,Selma,23614
36767,Alabama,Orrville,30567
36701,Alabama,Selma,26582
36986,Alabama,Rainsville,47226
35971,Alabama,Fyffe,41338
36421,Alabama,Andalusia,42170
35962,Alabama,Crossville,50821
